ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1000671513630162657,Steps2Beach-Lake View-Pool-2BR Beach Oasis,,,,,,,,,,,116.0,100,False,30.3814,-86.4067,False,"['Lake view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Washer', 'Dryer', 'Air conditioning']",2.0,2.0
1000804267148250300,Sunfish Summer*Gated Beach* Pool,,,,,899.0,899.0,899.0,899.0,899.0,899.0,899.0,926,False,30.3827,-86.415,True,"['Private beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours, heated', 'Pets allowed', 'TV', 'Free washer – In unit', 'Exterior security cameras on property']",4.0,3.0
1002181188132553678,NEW! Paradise by the Beach|Private Heated Pool,,,456.0,508.0,501.0,600.0,600.0,600.0,600.0,600.0,600.0,600,False,30.38111,-86.41141,True,"['Shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours, heated', 'Hot tub', 'TV', 'Free washer – In unit', 'Free dryer – In unit']",5.0,4.0
1003518727788202765,Dolphin Dreams,,,,,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600,False,30.3821,-86.42844,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Private pool', 'Private hot tub', 'TV', 'EV charger - level 2, tesla only', 'Washer', 'Exterior security cameras on property']",8.0,9.0
1003677256289285209,"""Ocean Effect"" - Golf Cart Included",,,,,406.0,406.0,406.0,900.0,900.0,900.0,900.0,900,False,30.38127,-86.40386,True,"['Lake view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Private outdoor pool', 'Shared hot tub', 'TV', 'Free washer – In unit', 'Free dryer – In unit']",3.0,3.0
1004347369973942221,Beach Front 1,,,,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000,False,30.3789,-86.394,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'EV charger - level 2', 'Free washer – In unit', 'Free dryer – In unit', 'Carbon monoxide alarm']",4.0,3.5
1004563025269354271,Seas The Day | Destiny East Neighborhood | Private,,,,,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696,False,30.3834,-86.4038,True,"['Courtyard view', 'Shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'Exterior security cameras on property', 'Carbon monoxide alarm']",5.0,4.5
1006310711487764018,3BR dog-friendly golf course-adjacent home,,,,,,,244.0,194.0,194.0,196.0,206.0,199,False,30.38347,-86.34047,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm']",3.0,2.0
1007440119152439599,Beach Front 3,,,,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000,False,30.37811,-86.39476,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'EV charger - level 2', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning']",4.0,3.5
1007444581026502979,Beach Front 4,,,,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000,False,30.3789,-86.394,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'EV charger - level 2', 'Washer', 'Free dryer – In unit', 'Central air conditioning']",4.0,3.5
